"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"07/06/2022","272,50","266,64","273,13","265,94","22,86M","1,40%"
"06/06/2022","268,75","272,06","274,18","267,22","22,40M","-0,47%"
"03/06/2022","270,02","270,31","273,45","268,41","28,06M","-1,66%"
"02/06/2022","274,58","264,45","274,65","261,60","44,01M","0,79%"
"01/06/2022","272,42","275,20","277,69","270,04","25,29M","0,20%"
"31/05/2022","271,87","272,53","274,77","268,93","37,83M","-0,50%"
"27/05/2022","273,24","268,48","273,34","267,56","26,91M","2,76%"
"26/05/2022","265,90","262,27","267,11","261,43","25,00M","1,29%"
"25/05/2022","262,52","258,14","264,58","257,13","28,55M","1,12%"
"24/05/2022","259,62","257,89","261,33","253,50","29,04M","-0,40%"
"23/05/2022","260,65","255,49","261,50","253,43","33,18M","3,20%"
"20/05/2022","252,56","257,24","258,54","246,44","39,20M","-0,23%"
"19/05/2022","253,14","253,90","257,67","251,88","32,69M","-0,37%"
"18/05/2022","254,08","263,00","263,60","252,77","31,36M","-4,77%"
"17/05/2022","266,82","266,11","268,33","262,46","28,83M","2,03%"
"16/05/2022","261,50","259,95","265,82","255,78","32,55M","0,15%"
"13/05/2022","261,12","257,35","263,04","255,35","34,93M","2,26%"
"12/05/2022","255,35","257,69","259,88","250,02","51,03M","-2,00%"
"11/05/2022","260,55","265,68","271,36","259,30","48,98M","-3,32%"
"10/05/2022","269,50","271,69","273,75","265,07","39,34M","1,86%"
"09/05/2022","264,58","270,06","272,36","263,32","47,73M","-3,69%"
"06/05/2022","274,73","274,80","279,25","271,27","37,78M","-0,94%"
"05/05/2022","277,35","285,54","286,35","274,34","43,26M","-4,36%"
"04/05/2022","289,98","282,59","290,88","276,73","33,60M","2,91%"
"03/05/2022","281,78","283,96","284,13","280,15","25,98M","-0,95%"
"02/05/2022","284,47","277,71","284,94","276,22","35,15M","2,50%"
"29/04/2022","277,52","288,61","289,88","276,50","37,07M","-4,18%"
"28/04/2022","289,63","285,18","290,98","281,46","33,65M","2,26%"
"27/04/2022","283,22","282,10","290,97","279,16","63,48M","4,81%"
"26/04/2022","270,22","277,50","278,36","270,00","46,52M","-3,74%"
"25/04/2022","280,72","273,29","281,11","270,77","35,68M","2,44%"
"22/04/2022","274,03","281,68","283,20","273,38","29,41M","-2,41%"
"21/04/2022","280,81","288,58","293,30","280,06","29,45M","-1,94%"
"20/04/2022","286,36","289,40","289,70","285,37","22,91M","0,37%"
"19/04/2022","285,30","279,38","286,17","278,41","22,30M","1,70%"
"18/04/2022","280,52","278,91","282,46","278,34","20,78M","0,25%"
"14/04/2022","279,83","288,09","288,30","279,32","28,22M","-2,71%"
"13/04/2022","287,62","282,73","288,58","281,30","21,91M","1,97%"
"12/04/2022","282,06","289,23","290,74","280,49","30,97M","-1,12%"
"11/04/2022","285,26","291,79","292,61","285,00","34,57M","-3,94%"
"08/04/2022","296,97","300,44","301,12","296,28","24,36M","-1,46%"
"07/04/2022","301,37","296,66","303,65","296,35","31,41M","0,62%"
"06/04/2022","299,50","305,19","307,00","296,71","40,11M","-3,66%"
"05/04/2022","310,88","313,27","314,86","309,87","23,16M","-1,30%"
"04/04/2022","314,97","310,09","315,11","309,71","24,34M","1,79%"
"01/04/2022","309,42","309,37","310,13","305,54","27,11M","0,36%"
"31/03/2022","308,31","313,90","315,14","307,89","33,42M","-1,77%"
"30/03/2022","313,86","313,76","315,95","311,58","28,16M","-0,49%"
"29/03/2022","315,41","313,91","315,82","309,05","30,39M","1,52%"
"28/03/2022","310,70","304,33","310,80","304,33","29,58M","2,31%"
"25/03/2022","303,68","305,23","305,50","299,29","22,57M","-0,14%"
"24/03/2022","304,10","299,14","304,20","298,32","24,48M","1,54%"
"23/03/2022","299,49","300,51","303,23","297,72","25,72M","-1,50%"
"22/03/2022","304,06","299,80","305,00","298,77","27,60M","1,64%"
"21/03/2022","299,16","298,89","300,14","294,90","28,35M","-0,42%"
"18/03/2022","300,43","295,37","301,00","292,73","43,39M","1,76%"
"17/03/2022","295,22","293,29","295,61","289,37","30,82M","0,28%"
"16/03/2022","294,39","289,11","294,57","283,20","37,83M","2,52%"
"15/03/2022","287,15","280,35","287,82","278,73","34,25M","3,87%"
"14/03/2022","276,44","280,34","285,40","275,82","30,66M","-1,30%"
"11/03/2022","280,07","287,96","289,51","279,43","27,21M","-1,93%"
"10/03/2022","285,59","283,02","286,60","280,58","30,63M","-1,01%"
"09/03/2022","288,50","283,44","289,60","280,78","35,20M","4,59%"
"08/03/2022","275,85","277,80","283,96","270,00","48,16M","-1,10%"
"07/03/2022","278,91","288,53","289,69","278,53","43,16M","-3,78%"
"04/03/2022","289,86","294,29","295,66","287,17","32,37M","-2,05%"
"03/03/2022","295,92","302,89","303,13","294,05","27,31M","-1,42%"
"02/03/2022","300,19","295,36","301,47","293,70","31,87M","1,78%"
"01/03/2022","294,95","296,40","299,97","292,15","31,22M","-1,29%"
"28/02/2022","298,79","294,31","299,14","293,00","34,63M","0,50%"
"25/02/2022","297,31","295,14","297,63","291,65","32,55M","0,92%"
"24/02/2022","294,59","272,51","295,16","271,52","56,99M","5,11%"
"23/02/2022","280,27","290,18","291,70","280,10","37,81M","-2,59%"
"22/02/2022","287,72","285,00","291,54","284,50","41,74M","-0,07%"
"18/02/2022","287,93","293,05","293,86","286,30","34,26M","-0,96%"
"17/02/2022","290,73","296,36","296,80","290,00","32,46M","-2,93%"
"16/02/2022","299,50","298,36","300,87","293,68","29,98M","-0,32%"
"15/02/2022","300,47","300,01","300,80","297,02","27,38M","1,85%"
"14/02/2022","295,00","293,77","296,76","291,35","36,36M","-0,01%"
"11/02/2022","295,04","303,19","304,29","294,22","39,18M","-2,43%"
"10/02/2022","302,38","304,04","309,12","300,70","45,39M","-2,84%"
"09/02/2022","311,21","309,86","311,93","307,39","31,28M","2,18%"
"08/02/2022","304,56","301,25","305,56","299,95","32,42M","1,20%"
"07/02/2022","300,95","306,17","307,84","299,90","28,53M","-1,63%"
"04/02/2022","305,94","300,21","308,80","299,97","35,10M","1,56%"
"03/02/2022","301,25","309,49","311,23","299,96","43,73M","-3,90%"
"02/02/2022","313,46","309,63","315,12","308,88","36,64M","1,52%"
"01/02/2022","308,76","310,41","310,63","305,13","40,95M","-0,71%"
"31/01/2022","310,98","308,95","312,38","306,37","46,44M","0,88%"
"28/01/2022","308,26","300,23","308,48","294,45","49,74M","2,81%"
"27/01/2022","299,84","302,66","307,30","297,93","53,48M","1,05%"
"26/01/2022","296,71","307,98","308,50","293,03","90,43M","2,85%"
"25/01/2022","288,49","291,52","294,99","285,17","72,85M","-2,66%"
"24/01/2022","296,37","292,20","297,11","276,05","86,04M","0,11%"
"21/01/2022","296,03","302,68","304,11","295,61","57,98M","-1,85%"
"20/01/2022","301,60","309,07","311,65","301,14","35,38M","-0,57%"
"19/01/2022","303,33","306,29","313,91","302,70","45,93M","0,22%"
"18/01/2022","302,65","304,07","309,80","301,74","42,43M","-2,43%"
"14/01/2022","310,20","304,25","310,82","303,75","39,85M","1,77%"
"13/01/2022","304,80","320,47","320,88","304,00","45,37M","-4,23%"
"12/01/2022","318,27","319,67","323,41","317,08","34,37M","1,04%"
"11/01/2022","314,98","313,38","316,61","309,89","29,39M","0,23%"
"10/01/2022","314,27","309,48","314,72","304,69","44,29M","0,07%"
"07/01/2022","314,04","314,15","316,50","310,09","32,72M","0,05%"
"06/01/2022","313,88","313,15","318,70","311,49","39,65M","-0,79%"
"05/01/2022","316,38","325,86","326,07","315,98","40,05M","-3,84%"
"04/01/2022","329,01","334,83","335,20","326,12","32,67M","-1,71%"
"03/01/2022","334,75","335,35","338,00","329,78","28,92M","-0,47%"
